,UT,indirect_count,direct_count,target
0,DIIDW:1994074556,51,12.0,31.5
1,DIIDW:1994217381,16,6.0,11.0
2,DIIDW:1994217382,43,4.0,23.5
3,DIIDW:1994357642,2,3.0,2.5
4,DIIDW:1995060738,27,11.0,19.0
5,DIIDW:1994310194,8,4.0,6.0
6,DIIDW:1998483673,5,3.0,4.0
7,DIIDW:1989325910,1,1.0,1.0
8,DIIDW:1993143687,0,2.0,1.0
9,DIIDW:1997502419,3,4.0,3.5
10,DIIDW:1998296334,9,3.0,6.0
11,DIIDW:2000180940,57,23.0,40.0
12,DIIDW:2000577952,14,9.0,11.5
13,DIIDW:1983B7871K,1,2.0,1.5
14,DIIDW:2000643793,7,4.0,5.5
15,DIIDW:2002306853,15,5.0,10.0
16,DIIDW:1997434026,19,3.0,11.0
17,DIIDW:1991288229,4,2.0,3.0
18,DIIDW:1997020476,3,3.0,3.0
19,DIIDW:1994332574,3,1.0,2.0
20,DIIDW:1998286018,13,7.0,10.0
21,DIIDW:2002114000,22,16.0,19.0
22,DIIDW:2002517252,17,3.0,10.0
23,DIIDW:1998436630,17,7.0,12.0
24,DIIDW:2001648089,57,27.0,42.0
25,DIIDW:2003776121,11,11.0,11.0
26,DIIDW:2002225753,16,9.0,12.5
27,DIIDW:1997363024,5,7.0,6.0
28,DIIDW:2003340693,1,4.0,2.5
29,DIIDW:2003398490,6,4.0,5.0
30,DIIDW:2000421658,0,2.0,1.0
31,DIIDW:2004009578,5,4.0,4.5
32,DIIDW:2005170813,23,16.0,19.5
33,DIIDW:1999384169,2,1.0,1.5
34,DIIDW:2006054465,8,5.0,6.5
35,DIIDW:2002004558,4,5.0,4.5
36,DIIDW:1999575613,2,2.0,2.0
37,DIIDW:2007198079,0,3.0,1.5
38,DIIDW:2002599623,0,2.0,1.0
39,DIIDW:2010Q57432,13,6.0,9.5
40,DIIDW:2008N72703,6,2.0,4.0
41,DIIDW:2010A49844,7,5.0,6.0
42,DIIDW:2007480878,5,3.0,4.0
43,DIIDW:2001516630,22,6.0,14.0
44,DIIDW:2009Q71749,35,6.0,20.5
45,DIIDW:2007331819,36,8.0,22.0
46,DIIDW:1998125661,22,1.0,11.5
47,DIIDW:1998009564,7,12.0,9.5
48,DIIDW:2005387443,13,5.0,9.0
49,DIIDW:2008F88524,3,4.0,3.5
50,DIIDW:2005312726,1,3.0,2.0
51,DIIDW:2007607147,0,3.0,1.5
52,DIIDW:2008A48809,14,5.0,9.5
53,DIIDW:2008B91357,4,2.0,3.0
54,DIIDW:1998017158,0,1.0,0.5
55,DIIDW:2008E59821,3,1.0,2.0
56,DIIDW:2006249452,15,3.0,9.0
57,DIIDW:1991134549,8,1.0,4.5
58,DIIDW:2006098432,10,3.0,6.5
59,DIIDW:2008N87778,1,1.0,1.0
60,DIIDW:2008E84757,1,5.0,3.0
61,DIIDW:2005492556,5,6.0,5.5
62,DIIDW:2007696405,2,1.0,1.5
63,DIIDW:2003847298,2,2.0,2.0
64,DIIDW:1998155264,2,1.0,1.5
65,DIIDW:1996496820,2,1.0,1.5
66,DIIDW:2003829482,0,1.0,0.5
67,DIIDW:1996361754,0,1.0,0.5
68,DIIDW:2009E82357,0,1.0,0.5
69,DIIDW:2007236408,0,1.0,0.5
70,DIIDW:2005160645,1,1.0,1.0
71,DIIDW:2009H43350,0,1.0,0.5
72,DIIDW:2008K27178,35,22.0,28.5
73,DIIDW:2006596057,10,5.0,7.5
74,DIIDW:2010L09769,0,1.0,0.5
75,DIIDW:1999517668,27,9.0,18.0
76,DIIDW:2009P09908,0,1.0,0.5
77,DIIDW:2003179222,0,1.0,0.5
78,DIIDW:2010Q41453,0,1.0,0.5
79,DIIDW:2008F53768,3,2.0,2.5
80,DIIDW:2008F65230,3,3.0,3.0
81,DIIDW:2005008153,0,3.0,1.5
82,DIIDW:2009G98681,10,5.0,7.5
83,DIIDW:2009H63333,24,12.0,18.0
84,DIIDW:2009G40471,11,4.0,7.5
85,DIIDW:2010N20934,1,1.0,1.0
86,DIIDW:2010M72157,1,2.0,1.5
87,DIIDW:2010A07131,0,1.0,0.5
88,DIIDW:2009Q89446,14,12.0,13.0
89,DIIDW:2009F15418,0,2.0,1.0
90,DIIDW:2011D01432,0,1.0,0.5
91,DIIDW:2007842464,24,12.0,18.0
92,DIIDW:2003379133,7,3.0,5.0
93,DIIDW:2004601932,27,12.0,19.5
94,DIIDW:2009J94321,18,10.0,14.0
95,DIIDW:2008E26184,16,6.0,11.0
96,DIIDW:2000671793,0,3.0,1.5
97,DIIDW:2009E31618,11,10.0,10.5
98,DIIDW:2007047094,1,1.0,1.0
99,DIIDW:2010C66916,6,2.0,4.0
100,DIIDW:2010E22933,12,4.0,8.0
101,DIIDW:2011F99396,1,1.0,1.0
102,DIIDW:2009G99118,13,7.0,10.0
103,DIIDW:2010J54273,16,4.0,10.0
104,DIIDW:2007323758,2,3.0,2.5
105,DIIDW:2008D95955,6,4.0,5.0
106,DIIDW:2010K68633,5,3.0,4.0
107,DIIDW:2010K68636,2,3.0,2.5
108,DIIDW:2010K71586,2,2.0,2.0
109,DIIDW:1983730247,5,3.0,4.0
110,DIIDW:2011D37527,4,3.0,3.5
111,DIIDW:2003319662,8,7.0,7.5
112,DIIDW:2009L09244,4,3.0,3.5
113,DIIDW:2011K68142,1,1.0,1.0
114,DIIDW:2011A45488,14,7.0,10.5
115,DIIDW:2009L65067,12,6.0,9.0
116,DIIDW:2010L02293,15,9.0,12.0
117,DIIDW:2008E91483,4,8.0,6.0
118,DIIDW:2011G62666,8,7.0,7.5
119,DIIDW:2008F27273,0,1.0,0.5
120,DIIDW:2008J94995,0,1.0,0.5
121,DIIDW:2008A35076,1,3.0,2.0
